latitude,longitude,name,description
55.105484,72.847512,ТП-00001,
54.73089,73.630118,ТП-00002,ПС-220/110/10
54.608245,73.284114,ТП-00003,
54.726774,73.375891,ТП-00004,
54.708954,73.534873,ТП-00005,КТП-6 кВ
54.934288,73.12601,ТП-00006,КТП-100
55.255237,73.587953,ТП-00007,КТП-10 кВ
54.723782,73.659844,ТП-00008,
54.871935,73.214877,ТП-00009,БКТП-1000
55.256415,73.622705,ТП-00010,ПС-110/10
54.60092,73.142496,ТП-00011,БКТП-630
55.049617,73.595029,ТП-00012,
54.735108,73.138327,ТП-00013,
54.739512,72.931102,ТП-00014,
55.102116,73.221315,ТП-00015,КТП-6 кВ
55.133158,73.592002,ТП-00016,Распределительный пункт
55.078218,73.008253,ТП-00017,КТП-10 кВ
54.946034,73.116943,ТП-00018,КТП-160
55.031255,73.573076,ТП-00019,КТП-100
54.580344,73.723983,ТП-00020,ПС-110/10
54.770967,73.052081,ТП-00021,КТП-160
54.81321,73.540983,ТП-00022,КТП-250
54.942967,73.111368,ТП-00023,
55.035231,73.109016,ТП-00024,КТП-400
54.88946,73.061253,ТП-00025,ПС-220/110/10
54.974164,73.65136,ТП-00026,КТП-10 кВ
55.094701,73.691287,ТП-00027,Распределительный пункт
54.876291,73.475477,ТП-00028,БКТП-1000
55.403971,73.766858,ТП-00029,
55.17865,73.569881,ТП-00030,БКТП-1000
55.221739,73.194193,ТП-00031,
54.672342,72.82357,ТП-00032,КТП-160
54.76705,73.370645,ТП-00033,
55.351365,73.77757,ТП-00034,
55.105055,73.489867,ТП-00035,
55.21626,73.413317,ТП-00036,ПС-220/110/10
55.356644,73.478839,ТП-00037,Распределительный пункт
55.366189,73.786594,ТП-00038,БКТП-1000
54.745507,73.084959,ТП-00039,Распределительный пункт
54.607088,73.35459,ТП-00040,
55.214542,73.662418,ТП-00041,
54.957754,73.424784,ТП-00042,
55.31519,73.285452,ТП-00043,
55.015366,73.622924,ТП-00044,
54.810545,73.914664,ТП-00045,ТП-35/6
55.339653,73.316635,ТП-00046,
54.587623,72.843138,ТП-00047,КТП-400
54.728196,72.898092,ТП-00048,КТП-6 кВ
54.59066,72.854554,ТП-00049,ПС-220/110/10
54.744204,73.555876,ТП-00050,
54.649081,73.849066,ТП-00051,ТП-35/6
54.748698,73.34027,ТП-00052,Распределительный пункт
54.617238,73.294156,ТП-00053,ТП-35/6
55.307453,72.879588,ТП-00054,КТП-250
54.618576,73.262883,ТП-00055,Распределительный пункт
54.753791,73.02923,ТП-00056,ПС-110/10
54.695139,73.328891,ТП-00057,Распределительный пункт
54.928818,73.767484,ТП-00058,Трансформаторная подстанция
55.11693,73.414647,ТП-00059,
54.613936,73.648922,ТП-00060,
54.895773,73.349494,ТП-00061,Трансформаторная подстанция
54.678173,72.822371,ТП-00062,КТП-100
55.236616,73.133774,ТП-00063,КТП-160
55.42588,73.431345,ТП-00064,КТП-10 кВ
54.700908,73.059471,ТП-00065,
55.192163,72.887053,ТП-00066,Трансформаторная подстанция
55.05576,73.373135,ТП-00067,КТП-10 кВ
54.581192,73.378611,ТП-00068,Распределительный пункт
55.065532,73.562734,ТП-00069,
54.637898,73.799316,ТП-00070,
55.065067,73.50132,ТП-00071,КТП-400
55.038704,73.168007,ТП-00072,
55.132753,73.165602,ТП-00073,
54.64779,73.530051,ТП-00074,КТП-100
55.372161,72.830247,ТП-00075,КТП-400
55.426487,72.900587,ТП-00076,
54.76868,73.846585,ТП-00077,КТП-6 кВ
54.862574,72.993522,ТП-00078,КТП-160
54.802265,73.902239,ТП-00079,ПС-220/110/10
54.537041,73.718815,ТП-00080,
55.12705,73.852823,ТП-00081,
54.633886,72.93774,ТП-00082,БКТП-1000
54.783581,73.051693,ТП-00083,КТП-250
55.100814,73.110382,ТП-00084,Трансформаторная подстанция
54.613069,73.285933,ТП-00085,
54.533191,73.668231,ТП-00086,БКТП-1000
54.675424,73.306019,ТП-00087,ПС-220/110/10
54.538703,72.902768,ТП-00088,КТП-10 кВ
55.021031,73.738055,ТП-00089,КТП-10 кВ
54.916808,72.866012,ТП-00090,КТП-100
55.404977,72.863884,ТП-00091,КТП-250
54.754577,72.933073,ТП-00092,ПС-110/10
